EIC,BNA-ID,Name BNA,Plant & Block name,Year,Generation elec. [MWh_el]
11WD7BERG1S--A-X,BNA0067,Bergkamen A,Bergkamen A,2016,2796586.000
11WD7BERG1S--A-X,BNA0067,Bergkamen A,Bergkamen A,2017,1796371.000
11WD7BERG1S--A-X,BNA0067,Bergkamen A,Bergkamen A,2018,1741338.000
11WD7BERG1S--A-X,BNA0067,Bergkamen A,Bergkamen A,2019,740499.000
11WD7BERG1S--A-X,BNA0067,Bergkamen A,Bergkamen A,2020,374569.000
11WD7BERG1S--A-X,BNA0067,Bergkamen A,Bergkamen A,2021,914717.000
11WD7BERG1S--A-X,BNA0067,Bergkamen A,Bergkamen A,2022,2025901.000
11WD8BOXB1L---N8,BNA0122,Boxberg Block N,Boxberg N,2016,3853243.000
11WD8BOXB1L---N8,BNA0122,Boxberg Block N,Boxberg N,2017,3527767.000
11WD8BOXB1L---N8,BNA0122,Boxberg Block N,Boxberg N,2018,3874468.000
11WD8BOXB1L---N8,BNA0122,Boxberg Block N,Boxberg N,2019,2762964.000
11WD8BOXB1L---N8,BNA0122,Boxberg Block N,Boxberg N,2020,3104985.000
11WD8BOXB1L---N8,BNA0122,Boxberg Block N,Boxberg N,2021,2594696.000
11WD8BOXB1L---N8,BNA0122,Boxberg Block N,Boxberg N,2022,3634225.000
11WD8BOXB1L---P4,BNA0123,Boxberg Block P,Boxberg P,2016,3704029.000
11WD8BOXB1L---P4,BNA0123,Boxberg Block P,Boxberg P,2017,3677257.000
11WD8BOXB1L---P4,BNA0123,Boxberg Block P,Boxberg P,2018,3560197.000
11WD8BOXB1L---P4,BNA0123,Boxberg Block P,Boxberg P,2019,3674633.000
11WD8BOXB1L---P4,BNA0123,Boxberg Block P,Boxberg P,2020,2501534.000
11WD8BOXB1L---P4,BNA0123,Boxberg Block P,Boxberg P,2021,3260569.000
11WD8BOXB1L---P4,BNA0123,Boxberg Block P,Boxberg P,2022,3174565.000
11WD8BOXB1L---Q2,BNA0124,Boxberg Block Q,Boxberg Q,2016,4942260.000
11WD8BOXB1L---Q2,BNA0124,Boxberg Block Q,Boxberg Q,2017,6814103.000
11WD8BOXB1L---Q2,BNA0124,Boxberg Block Q,Boxberg Q,2018,5638488.000
11WD8BOXB1L---Q2,BNA0124,Boxberg Block Q,Boxberg Q,2019,6441879.000
11WD8BOXB1L---Q2,BNA0124,Boxberg Block Q,Boxberg Q,2020,4530842.000
11WD8BOXB1L---Q2,BNA0124,Boxberg Block Q,Boxberg Q,2021,5514886.000
11WD8BOXB1L---Q2,BNA0124,Boxberg Block Q,Boxberg Q,2022,6243320.000
11WD8BOXB1L---R0,BNA1404,Boxberg Block R,Boxberg R,2016,4443033.000
11WD8BOXB1L---R0,BNA1404,Boxberg Block R,Boxberg R,2017,3414023.000
11WD8BOXB1L---R0,BNA1404,Boxberg Block R,Boxberg R,2018,4214045.000
11WD8BOXB1L---R0,BNA1404,Boxberg Block R,Boxberg R,2019,4088166.000
11WD8BOXB1L---R0,BNA1404,Boxberg Block R,Boxberg R,2020,3692609.000
11WD8BOXB1L---R0,BNA1404,Boxberg Block R,Boxberg R,2021,2787492.000
11WD8BOXB1L---R0,BNA1404,Boxberg Block R,Boxberg R,2022,4325589.000
11WD8LIPD1L---R6,BNA0115,Kraftwerk Lippendorf Block R,Lippendorf R,2016,6522296.000
11WD8LIPD1L---R6,BNA0115,Kraftwerk Lippendorf Block R,Lippendorf R,2017,5634518.000
11WD8LIPD1L---R6,BNA0115,Kraftwerk Lippendorf Block R,Lippendorf R,2018,6369766.000
11WD8LIPD1L---R6,BNA0115,Kraftwerk Lippendorf Block R,Lippendorf R,2019,4841568.000
11WD8LIPD1L---R6,BNA0115,Kraftwerk Lippendorf Block R,Lippendorf R,2020,3355373.000
11WD8LIPD1L---R6,BNA0115,Kraftwerk Lippendorf Block R,Lippendorf R,2021,6334075.000
11WD8LIPD1L---R6,BNA0115,Kraftwerk Lippendorf Block R,Lippendorf R,2022,5923867.000
11WD8LIPD1L---S4,BNA0116,Kraftwerk Lippendorf Block S,Lippendorf S,2016,4934454.000
11WD8LIPD1L---S4,BNA0116,Kraftwerk Lippendorf Block S,Lippendorf S,2017,6271119.000
11WD8LIPD1L---S4,BNA0116,Kraftwerk Lippendorf Block S,Lippendorf S,2018,5686633.000
11WD8LIPD1L---S4,BNA0116,Kraftwerk Lippendorf Block S,Lippendorf S,2019,4442909.000
11WD8LIPD1L---S4,BNA0116,Kraftwerk Lippendorf Block S,Lippendorf S,2020,5019731.000
11WD8LIPD1L---S4,BNA0116,Kraftwerk Lippendorf Block S,Lippendorf S,2021,4948298.000
11WD8LIPD1L---S4,BNA0116,Kraftwerk Lippendorf Block S,Lippendorf S,2022,6207170.000
11WD2BURG000145R,BNA0172a,Gasturbinenanlage 12,Burghausen ,2016,0.000
11WD2BURG000145R,BNA0172a,Gasturbinenanlage 12,Burghausen ,2017,0.000
11WD2BURG000145R,BNA0172a,Gasturbinenanlage 12,Burghausen ,2018,0.000
11WD2BURG000145R,BNA0172a,Gasturbinenanlage 12,Burghausen ,2019,0.000
11WD2BURG000145R,BNA0172a,Gasturbinenanlage 12,Burghausen ,2020,0.000
11WD2BURG000145R,BNA0172a,Gasturbinenanlage 12,Burghausen ,2021,0.000
11WD2BURG000145R,BNA0172a,Gasturbinenanlage 12,Burghausen ,2022,0.000
11WD2BUSD0000386,BNA0439,Buschhaus,Buschhaus ,2016,1710289.000
11WD2BUSD0000386,BNA0439,Buschhaus,Buschhaus ,2017,0.000
11WD2BUSD0000386,BNA0439,Buschhaus,Buschhaus ,2018,0.000
11WD2BUSD0000386,BNA0439,Buschhaus,Buschhaus ,2019,0.000
11WD2BUSD0000386,BNA0439,Buschhaus,Buschhaus ,2020,0.000
11WD2BUSD0000386,BNA0439,Buschhaus,Buschhaus ,2021,0.000
11WD2BUSD0000386,BNA0439,Buschhaus,Buschhaus ,2022,0.000
11WD7HERD2G-H6-X,BNA0442,Cuno Heizkraftwerk Herdecke H6,Cuno HKW Herdecke H6,2016,429315.983
11WD7HERD2G-H6-X,BNA0442,Cuno Heizkraftwerk Herdecke H6,Cuno HKW Herdecke H6,2017,490275.000
11WD7HERD2G-H6-X,BNA0442,Cuno Heizkraftwerk Herdecke H6,Cuno HKW Herdecke H6,2018,461604.000
11WD7HERD2G-H6-X,BNA0442,Cuno Heizkraftwerk Herdecke H6,Cuno HKW Herdecke H6,2019,991632.000
11WD7HERD2G-H6-X,BNA0442,Cuno Heizkraftwerk Herdecke H6,Cuno HKW Herdecke H6,2020,1358468.641
11WD7HERD2G-H6-X,BNA0442,Cuno Heizkraftwerk Herdecke H6,Cuno HKW Herdecke H6,2021,1110705.000
11WD7HERD2G-H6-X,BNA0442,Cuno Heizkraftwerk Herdecke H6,Cuno HKW Herdecke H6,2022,877719.000
11W0-0000-0044-W,BNA1949,Datteln 4,Datteln 4,2016,0.000
11W0-0000-0044-W,BNA1949,Datteln 4,Datteln 4,2017,1.000
11W0-0000-0044-W,BNA1949,Datteln 4,Datteln 4,2018,0.000
11W0-0000-0044-W,BNA1949,Datteln 4,Datteln 4,2019,1495.000
11W0-0000-0044-W,BNA1949,Datteln 4,Datteln 4,2020,2275756.000
11W0-0000-0044-W,BNA1949,Datteln 4,Datteln 4,2021,3027713.641
11W0-0000-0044-W,BNA1949,Datteln 4,Datteln 4,2022,2287448.381
11WD7BRAU5G-GUDH,BNA0199,Dormagen,Dormagen GuD,2016,1290593.000
11WD7BRAU5G-GUDH,BNA0199,Dormagen,Dormagen GuD,2017,947435.000
11WD7BRAU5G-GUDH,BNA0199,Dormagen,Dormagen GuD,2018,621111.000
11WD7BRAU5G-GUDH,BNA0199,Dormagen,Dormagen GuD,2019,846733.000
11WD7BRAU5G-GUDH,BNA0199,Dormagen,Dormagen GuD,2020,727081.000
11WD7BRAU5G-GUDH,BNA0199,Dormagen,Dormagen GuD,2021,523880.000
11WD7BRAU5G-GUDH,BNA0199,Dormagen,Dormagen GuD,2022,389290.000
11WD7BEEC5XHAM4I,BNA0396,Hamborn 4,Duisburg-Hamborn 4,2016,369529.934
11WD7BEEC5XHAM4I,BNA0396,Hamborn 4,Duisburg-Hamborn 4,2017,468126.000
11WD7BEEC5XHAM4I,BNA0396,Hamborn 4,Duisburg-Hamborn 4,2018,457332.207
11WD7BEEC5XHAM4I,BNA0396,Hamborn 4,Duisburg-Hamborn 4,2019,425450.000
11WD7BEEC5XHAM4I,BNA0396,Hamborn 4,Duisburg-Hamborn 4,2020,433929.392
11WD7BEEC5XHAM4I,BNA0396,Hamborn 4,Duisburg-Hamborn 4,2021,169801.000
11WD7BEEC5XHAM4I,BNA0396,Hamborn 4,Duisburg-Hamborn 4,2022,509936.000
11WD7BEEC5XHAM5G,BNA0397,Hamborn 5,Duisburg-Hamborn 5,2016,1112312.314
11WD7BEEC5XHAM5G,BNA0397,Hamborn 5,Duisburg-Hamborn 5,2017,1361636.000
11WD7BEEC5XHAM5G,BNA0397,Hamborn 5,Duisburg-Hamborn 5,2018,1332875.155
11WD7BEEC5XHAM5G,BNA0397,Hamborn 5,Duisburg-Hamborn 5,2019,1498911.000
11WD7BEEC5XHAM5G,BNA0397,Hamborn 5,Duisburg-Hamborn 5,2020,1174534.551
11WD7BEEC5XHAM5G,BNA0397,Hamborn 5,Duisburg-Hamborn 5,2021,1180097.000
11WD7BEEC5XHAM5G,BNA0397,Hamborn 5,Duisburg-Hamborn 5,2022,1031344.000
11WD7RHAU5GKW3B5,BNA0214,HKW III  Block B,HKW Wanheim 3B,2016,927267.000
11WD7RHAU5GKW3B5,BNA0214,HKW III  Block B,HKW Wanheim 3B,2017,994624.000
11WD7RHAU5GKW3B5,BNA0214,HKW III  Block B,HKW Wanheim 3B,2018,816711.000
11WD7RHAU5GKW3B5,BNA0214,HKW III  Block B,HKW Wanheim 3B,2019,999802.000
11WD7RHAU5GKW3B5,BNA0214,HKW III  Block B,HKW Wanheim 3B,2020,1144335.000
11WD7RHAU5GKW3B5,BNA0214,HKW III  Block B,HKW Wanheim 3B,2021,833934.000
11WD7RHAU5GKW3B5,BNA0214,HKW III  Block B,HKW Wanheim 3B,2022,543233.000
11WD7BEEC5XRUH4E,BNA0219,Ruhrort 4,Duisburg-Ruhrort 4,2016,810790.826
11WD7BEEC5XRUH4E,BNA0219,Ruhrort 4,Duisburg-Ruhrort 4,2017,1034637.000
11WD7BEEC5XRUH4E,BNA0219,Ruhrort 4,Duisburg-Ruhrort 4,2018,890575.664
11WD7BEEC5XRUH4E,BNA0219,Ruhrort 4,Duisburg-Ruhrort 4,2019,206590.000
11WD7BEEC5XRUH4E,BNA0219,Ruhrort 4,Duisburg-Ruhrort 4,2020,639514.295
11WD7BEEC5XRUH4E,BNA0219,Ruhrort 4,Duisburg-Ruhrort 4,2021,977647.000
11WD7BEEC5XRUH4E,BNA0219,Ruhrort 4,Duisburg-Ruhrort 4,2022,662909.000
11WD7EMSL-G-BLB0,BNA0603+BNA0604,Emsland B,Emsland B,2016,484143.000
11WD7EMSL-G-BLB0,BNA0603+BNA0604,Emsland B,Emsland B,2017,450544.000
11WD7EMSL-G-BLB0,BNA0603+BNA0604,Emsland B,Emsland B,2018,118687.000
11WD7EMSL-G-BLB0,BNA0603+BNA0604,Emsland B,Emsland B,2019,900381.000
11WD7EMSL-G-BLB0,BNA0603+BNA0604,Emsland B,Emsland B,2020,870722.000
11WD7EMSL-G-BLB0,BNA0603+BNA0604,Emsland B,Emsland B,2021,142011.000
11WD7EMSL-G-BLB0,BNA0603+BNA0604,Emsland B,Emsland B,2022,201260.000
11WD7EMSL-G-BLCZ,BNA0602+BNA0605,Emsland C,Emsland C,2016,476088.000
11WD7EMSL-G-BLCZ,BNA0602+BNA0605,Emsland C,Emsland C,2017,450507.000
11WD7EMSL-G-BLCZ,BNA0602+BNA0605,Emsland C,Emsland C,2018,142030.000
11WD7EMSL-G-BLCZ,BNA0602+BNA0605,Emsland C,Emsland C,2019,191395.000
11WD7EMSL-G-BLCZ,BNA0602+BNA0605,Emsland C,Emsland C,2020,770210.000
11WD7EMSL-G-BLCZ,BNA0602+BNA0605,Emsland C,Emsland C,2021,352483.000
11WD7EMSL-G-BLCZ,BNA0602+BNA0605,Emsland C,Emsland C,2022,220445.000
11WD7EMSL1G-GUD9,BNA0606,Emsland D,Emsland D,2016,2838852.000
11WD7EMSL1G-GUD9,BNA0606,Emsland D,Emsland D,2017,3403569.000
11WD7EMSL1G-GUD9,BNA0606,Emsland D,Emsland D,2018,2783986.000
11WD7EMSL1G-GUD9,BNA0606,Emsland D,Emsland D,2019,3824444.000
11WD7EMSL1G-GUD9,BNA0606,Emsland D,Emsland D,2020,3591385.000
11WD7EMSL1G-GUD9,BNA0606,Emsland D,Emsland D,2021,3182074.000
11WD7EMSL1G-GUD9,BNA0606,Emsland D,Emsland D,2022,3216617.000
11WD2WIL10000688,BNA1061,Wilhelmshaven 1,Wilhelmshaven (Uniper) ,2016,2974443.000
11WD2WIL10000688,BNA1061,Wilhelmshaven 1,Wilhelmshaven (Uniper) ,2017,1449279.000
11WD2WIL10000688,BNA1061,Wilhelmshaven 1,Wilhelmshaven (Uniper) ,2018,1760935.000
11WD2WIL10000688,BNA1061,Wilhelmshaven 1,Wilhelmshaven (Uniper) ,2019,467796.000
11WD2WIL10000688,BNA1061,Wilhelmshaven 1,Wilhelmshaven (Uniper) ,2020,544292.000
11WD2WIL10000688,BNA1061,Wilhelmshaven 1,Wilhelmshaven (Uniper) ,2021,625274.538
11WD2WIL10000688,BNA1061,Wilhelmshaven 1,Wilhelmshaven (Uniper) ,2022,0.000
11WD2GE2D000056A,BNA0745,Franken DT2+GT2,Franken I 2+GT,2016,152047.000
11WD2GE2D000056A,BNA0745,Franken DT2+GT2,Franken I 2+GT,2017,269109.000
11WD2GE2D000056A,BNA0745,Franken DT2+GT2,Franken I 2+GT,2018,162833.000
11WD2GE2D000056A,BNA0745,Franken DT2+GT2,Franken I 2+GT,2019,116912.000
11WD2GE2D000056A,BNA0745,Franken DT2+GT2,Franken I 2+GT,2020,122691.000
11WD2GE2D000056A,BNA0745,Franken DT2+GT2,Franken I 2+GT,2021,115151.000
11WD2GE2D000056A,BNA0745,Franken DT2+GT2,Franken I 2+GT,2022,85754.000
11WD2GEB1000055R,BNA0744,Franken DT1,Franken I 1,2016,78616.000
11WD2GEB1000055R,BNA0744,Franken DT1,Franken I 1,2017,165246.000
11WD2GEB1000055R,BNA0744,Franken DT1,Franken I 1,2018,62232.000
11WD2GEB1000055R,BNA0744,Franken DT1,Franken I 1,2019,43465.000
11WD2GEB1000055R,BNA0744,Franken DT1,Franken I 1,2020,64304.000
11WD2GEB1000055R,BNA0744,Franken DT1,Franken I 1,2021,37350.000
11WD2GEB1000055R,BNA0744,Franken DT1,Franken I 1,2022,81655.000
11WD7FRIM2B--P-G,BNA0313,Frimmersdorf P,Frimmersdorf P,2016,1258027.000
11WD7FRIM2B--P-G,BNA0313,Frimmersdorf P,Frimmersdorf P,2017,1328209.000
11WD7FRIM2B--P-G,BNA0313,Frimmersdorf P,Frimmersdorf P,2018,0.000
11WD7FRIM2B--P-G,BNA0313,Frimmersdorf P,Frimmersdorf P,2019,0.000
11WD7FRIM2B--P-G,BNA0313,Frimmersdorf P,Frimmersdorf P,2020,0.000
11WD7FRIM2B--P-G,BNA0313,Frimmersdorf P,Frimmersdorf P,2021,0.000
11WD7FRIM2B--P-G,BNA0313,Frimmersdorf P,Frimmersdorf P,2022,0.000
11WD7FRIM2B--Q-D,BNA0314,Frimmersdorf Q,Frimmersdorf Q,2016,1460889.000
11WD7FRIM2B--Q-D,BNA0314,Frimmersdorf Q,Frimmersdorf Q,2017,1293784.000
11WD7FRIM2B--Q-D,BNA0314,Frimmersdorf Q,Frimmersdorf Q,2018,0.000
11WD7FRIM2B--Q-D,BNA0314,Frimmersdorf Q,Frimmersdorf Q,2019,0.000
11WD7FRIM2B--Q-D,BNA0314,Frimmersdorf Q,Frimmersdorf Q,2020,0.000
11WD7FRIM2B--Q-D,BNA0314,Frimmersdorf Q,Frimmersdorf Q,2021,0.000
11WD7FRIM2B--Q-D,BNA0314,Frimmersdorf Q,Frimmersdorf Q,2022,0.000
11WD2IRG30000606,BNA0993,Irsching 3,Irsching 3,2016,11743.000
11WD2IRG30000606,BNA0993,Irsching 3,Irsching 3,2017,4337.000
11WD2IRG30000606,BNA0993,Irsching 3,Irsching 3,2018,4127.000
11WD2IRG30000606,BNA0993,Irsching 3,Irsching 3,2019,5513.000
11WD2IRG30000606,BNA0993,Irsching 3,Irsching 3,2020,11574.000
11WD2IRG30000606,BNA0993,Irsching 3,Irsching 3,2021,4415.000
11WD2IRG30000606,BNA0993,Irsching 3,Irsching 3,2022,0.000
11WD2IRG4000061X,BNA0995,Irsching 4,Irsching 4,2016,83772.000
11WD2IRG4000061X,BNA0995,Irsching 4,Irsching 4,2017,17793.000
11WD2IRG4000061X,BNA0995,Irsching 4,Irsching 4,2018,6821.000
11WD2IRG4000061X,BNA0995,Irsching 4,Irsching 4,2019,4199.000
11WD2IRG4000061X,BNA0995,Irsching 4,Irsching 4,2020,680735.000
11WD2IRG4000061X,BNA0995,Irsching 4,Irsching 4,2021,1783315.000
11WD2IRG4000061X,BNA0995,Irsching 4,Irsching 4,2022,804592.000
11WD2IRG5000062N,BNA0994,Irsching 5,Irsching 5,2016,109250.000
11WD2IRG5000062N,BNA0994,Irsching 5,Irsching 5,2017,111378.000
11WD2IRG5000062N,BNA0994,Irsching 5,Irsching 5,2018,13142.000
11WD2IRG5000062N,BNA0994,Irsching 5,Irsching 5,2019,27970.000
11WD2IRG5000062N,BNA0994,Irsching 5,Irsching 5,2020,1042509.000
11WD2IRG5000062N,BNA0994,Irsching 5,Irsching 5,2021,2399672.000
11WD2IRG5000062N,BNA0994,Irsching 5,Irsching 5,2022,1693963.000
11WD2KIEL000050P,BNA0526,Gemeinschaftskraftwerk Kiel,Kiel (Gemeinschaftskraftwerk) ,2016,1121756.000
11WD2KIEL000050P,BNA0526,Gemeinschaftskraftwerk Kiel,Kiel (Gemeinschaftskraftwerk) ,2017,1047315.000
11WD2KIEL000050P,BNA0526,Gemeinschaftskraftwerk Kiel,Kiel (Gemeinschaftskraftwerk) ,2018,1159302.000
11WD2KIEL000050P,BNA0526,Gemeinschaftskraftwerk Kiel,Kiel (Gemeinschaftskraftwerk) ,2019,366425.000
11WD2KIEL000050P,BNA0526,Gemeinschaftskraftwerk Kiel,Kiel (Gemeinschaftskraftwerk) ,2020,0.000
11WD2KIEL000050P,BNA0526,Gemeinschaftskraftwerk Kiel,Kiel (Gemeinschaftskraftwerk) ,2021,0.000
11WD2KIEL000050P,BNA0526,Gemeinschaftskraftwerk Kiel,Kiel (Gemeinschaftskraftwerk) ,2022,0.000
11WD7GERS1S-K2-7,BNA1046b,Gersteinwerk K,Gersteinwerk K2,2016,2917596.000
11WD7GERS1S-K2-7,BNA1046b,Gersteinwerk K,Gersteinwerk K2,2017,1877359.000
11WD7GERS1S-K2-7,BNA1046b,Gersteinwerk K,Gersteinwerk K2,2018,1958533.000
11WD7GERS1S-K2-7,BNA1046b,Gersteinwerk K,Gersteinwerk K2,2019,305561.000
11WD7GERS1S-K2-7,BNA1046b,Gersteinwerk K,Gersteinwerk K2,2020,0.000
11WD7GERS1S-K2-7,BNA1046b,Gersteinwerk K,Gersteinwerk K2,2021,0.000
11WD7GERS1S-K2-7,BNA1046b,Gersteinwerk K,Gersteinwerk K2,2022,0.000
11WD7GERS-G-BLF3,BNA1039,Gersteinwerk F GT (F1),Gersteinwerk F,2016,0.000
11WD7GERS-G-BLF3,BNA1039,Gersteinwerk F GT (F1),Gersteinwerk F,2017,0.000
11WD7GERS-G-BLF3,BNA1039,Gersteinwerk F GT (F1),Gersteinwerk F,2018,0.000
11WD7GERS-G-BLF3,BNA1039,Gersteinwerk F GT (F1),Gersteinwerk F,2019,0.000
11WD7GERS-G-BLF3,BNA1039,Gersteinwerk F GT (F1),Gersteinwerk F,2020,0.000
11WD7GERS-G-BLF3,BNA1039,Gersteinwerk F GT (F1),Gersteinwerk F,2021,0.000
11WD7GERS-G-BLF3,BNA1039,Gersteinwerk F GT (F1),Gersteinwerk F,2022,0.000
11WD7GERS-G-BLG1,BNA1040,Gersteinwerk G GT (G1),Gersteinwerk G,2016,0.000
11WD7GERS-G-BLG1,BNA1040,Gersteinwerk G GT (G1),Gersteinwerk G,2017,0.000
11WD7GERS-G-BLG1,BNA1040,Gersteinwerk G GT (G1),Gersteinwerk G,2018,0.000
11WD7GERS-G-BLG1,BNA1040,Gersteinwerk G GT (G1),Gersteinwerk G,2019,0.000
11WD7GERS-G-BLG1,BNA1040,Gersteinwerk G GT (G1),Gersteinwerk G,2020,0.000
11WD7GERS-G-BLG1,BNA1040,Gersteinwerk G GT (G1),Gersteinwerk G,2021,0.000
11WD7GERS-G-BLG1,BNA1040,Gersteinwerk G GT (G1),Gersteinwerk G,2022,0.000
11WD7GERS-G-BLIY,BNA1042+BNA1043,Gersteinwerk I,Gersteinwerk I,2016,0.000
11WD7GERS-G-BLIY,BNA1042+BNA1043,Gersteinwerk I,Gersteinwerk I,2017,0.000
11WD7GERS-G-BLIY,BNA1042+BNA1043,Gersteinwerk I,Gersteinwerk I,2018,0.000
11WD7GERS-G-BLIY,BNA1042+BNA1043,Gersteinwerk I,Gersteinwerk I,2019,0.000
11WD7GERS-G-BLIY,BNA1042+BNA1043,Gersteinwerk I,Gersteinwerk I,2020,0.000
11WD7GERS-G-BLIY,BNA1042+BNA1043,Gersteinwerk I,Gersteinwerk I,2021,0.000
11WD7GERS-G-BLIY,BNA1042+BNA1043,Gersteinwerk I,Gersteinwerk I,2022,0.000
11WD7GERS5S-K1-J,BNA1046b,Gersteinwerk K,Gersteinwerk K1,2016,24541.000
11WD7GERS5S-K1-J,BNA1046b,Gersteinwerk K,Gersteinwerk K1,2017,61398.000
11WD7GERS5S-K1-J,BNA1046b,Gersteinwerk K,Gersteinwerk K1,2018,28121.000
11WD7GERS5S-K1-J,BNA1046b,Gersteinwerk K,Gersteinwerk K1,2019,21623.000
11WD7GERS5S-K1-J,BNA1046b,Gersteinwerk K,Gersteinwerk K1,2020,22281.000
11WD7GERS5S-K1-J,BNA1046b,Gersteinwerk K,Gersteinwerk K1,2021,8439.000
11WD7GERS5S-K1-J,BNA1046b,Gersteinwerk K,Gersteinwerk K1,2022,7827.000
11WD2HANN5C---1X,BNA0420,GKH 1,Stoecken (GKH) 1,2016,816307.000
11WD2HANN5C---1X,BNA0420,GKH 1,Stoecken (GKH) 1,2017,785993.000
11WD2HANN5C---1X,BNA0420,GKH 1,Stoecken (GKH) 1,2018,765424.000
11WD2HANN5C---1X,BNA0420,GKH 1,Stoecken (GKH) 1,2019,543340.000
11WD2HANN5C---1X,BNA0420,GKH 1,Stoecken (GKH) 1,2020,528994.000
11WD2HANN5C---1X,BNA0420,GKH 1,Stoecken (GKH) 1,2021,683303.000
11WD2HANN5C---1X,BNA0420,GKH 1,Stoecken (GKH) 1,2022,804961.000
11WD2HANN5C---2V,BNA0421,GKH 2,Stoecken (GKH) 2,2016,748280.000
11WD2HANN5C---2V,BNA0421,GKH 2,Stoecken (GKH) 2,2017,677123.000
11WD2HANN5C---2V,BNA0421,GKH 2,Stoecken (GKH) 2,2018,752321.000
11WD2HANN5C---2V,BNA0421,GKH 2,Stoecken (GKH) 2,2019,513064.000
11WD2HANN5C---2V,BNA0421,GKH 2,Stoecken (GKH) 2,2020,362264.000
11WD2HANN5C---2V,BNA0421,GKH 2,Stoecken (GKH) 2,2021,494762.000
11WD2HANN5C---2V,BNA0421,GKH 2,Stoecken (GKH) 2,2022,745816.000
11WD4AL1U1C1---T,BNA0020,Heizkraftwerk  Altbach/Deizisau HKW 1,HKW Altbach-Deizisau 1,2016,385245.000
11WD4AL1U1C1---T,BNA0020,Heizkraftwerk  Altbach/Deizisau HKW 1,HKW Altbach-Deizisau 1,2017,0.000
11WD4AL1U1C1---T,BNA0020,Heizkraftwerk  Altbach/Deizisau HKW 1,HKW Altbach-Deizisau 1,2018,0.000
11WD4AL1U1C1---T,BNA0020,Heizkraftwerk  Altbach/Deizisau HKW 1,HKW Altbach-Deizisau 1,2019,0.000
11WD4AL1U1C1---T,BNA0020,Heizkraftwerk  Altbach/Deizisau HKW 1,HKW Altbach-Deizisau 1,2020,0.000
11WD4AL1U1C1---T,BNA0020,Heizkraftwerk  Altbach/Deizisau HKW 1,HKW Altbach-Deizisau 1,2021,0.000
11WD4AL1U1C1---T,BNA0020,Heizkraftwerk  Altbach/Deizisau HKW 1,HKW Altbach-Deizisau 1,2022,0.000
11WD4AL1U1C2---O,BNA0019,Heizkraftwerk Altbach/Deizisau HKW 2 DT (Solobetrieb),HKW Altbach-Deizisau 2,2016,0.000
11WD4AL1U1C2---O,BNA0019,Heizkraftwerk Altbach/Deizisau HKW 2 DT (Solobetrieb),HKW Altbach-Deizisau 2,2017,0.000
11WD4AL1U1C2---O,BNA0019,Heizkraftwerk Altbach/Deizisau HKW 2 DT (Solobetrieb),HKW Altbach-Deizisau 2,2018,0.000
11WD4AL1U1C2---O,BNA0019,Heizkraftwerk Altbach/Deizisau HKW 2 DT (Solobetrieb),HKW Altbach-Deizisau 2,2019,0.000
11WD4AL1U1C2---O,BNA0019,Heizkraftwerk Altbach/Deizisau HKW 2 DT (Solobetrieb),HKW Altbach-Deizisau 2,2020,0.000
11WD4AL1U1C2---O,BNA0019,Heizkraftwerk Altbach/Deizisau HKW 2 DT (Solobetrieb),HKW Altbach-Deizisau 2,2021,0.000
11WD4AL1U1C2---O,BNA0019,Heizkraftwerk Altbach/Deizisau HKW 2 DT (Solobetrieb),HKW Altbach-Deizisau 2,2022,0.000
11WD8DRES5X----D,BNA0207,DT+GT1+GT2+GT3,HKW Dresden Nossener Bruecke ,2016,1478782.000
11WD8DRES5X----D,BNA0207,DT+GT1+GT2+GT3,HKW Dresden Nossener Bruecke ,2017,1439831.000
