ETS-ID,City,Name,Net electrical power [MW_el],Heat power [MW_th],CHP,Fuel,Thermal fuel emission factor [t/MWh_th],Sigma,Emission factor avg. [t/MWh_el],Utilization ratio avg. [MWh_el/MWh_th],Generation elec. avg. [MWh_el],Generation elec. min [MWh_el],Generation elec. max [MWh_el],Emissions avg. [t],Emissions min. [t],Emissions max. [t],Electricity share of total emissions,Heat share of total emissions
1399,Bergkamen,Bergkamen,717,20.000,False,hard coal,0.337,,,,1484283.000,374569.000,2796586.000,1420285.714,348234.000,2823880.000,,
1453,Boxberg,Boxberg,1000,60.000,True,lignite,0.398,0.000,1.179,2.363,6700733.143,5606519.000,7557272.000,7920716.571,6648578.000,8874695.000,0.997,0.003
1454,Boxberg,Boxberg,1470,65.000,True,lignite,0.398,0.000,1.042,2.673,9584390.714,8223451.000,10568909.000,9994754.000,8559191.000,11131400.000,1.000,0.000
1460,Boehlen,Lippendorf,1782,460.000,True,lignite,0.372,0.000,0.945,2.753,10927396.714,8375104.000,12131037.000,10578256.857,8272543.000,11911240.000,0.976,0.024
795,Burghausen,Burghausen,120,350.000,True,NG,0.201,1.000,inf,0.000,0.000,0.000,0.000,605513.571,521038.000,688971.000,0.324,0.676
1419,Helmstedt,Buschhaus,352,0.000,False,lignite,0.358,0.000,1.052,2.384,244327.000,0.000,1710289.000,256953.714,0.000,1798498.000,1.000,0.000
1409,Herdecke,Cuno HKW Herdecke,424,0.000,True,NG,0.201,0.001,0.380,3.701,817102.803,429315.983,1358468.641,319585.857,182013.000,532144.000,0.972,0.028
208968,Datteln,Datteln,1052,380.000,True,hard coal,0.337,,,,1084630.575,0.000,3027713.641,1399402.286,0.000,3823696.000,,
1485,Dormagen,Dormagen,586,480.000,True,NG,0.201,0.937,1.039,1.354,763731.857,389290.000,1290593.000,1203686.000,973948.000,1585620.000,0.659,0.341
1411,Hamborn,Duisburg-Hamborn,100,0.000,True,BFG,0.932,1.000,4.358,1.497,404872.076,169801.000,509936.000,1907229.857,1481644.000,2070524.000,0.925,0.075
1850,Hamborn,Duisburg-Hamborn,225,150.000,True,BFG,0.932,,,,1241672.860,1031344.000,1498911.000,2580690.714,2066398.000,3143109.000,,
1174,Duisburg,HKW Wanheim,234,167.000,True,NG,0.201,0.000,0.323,4.357,894272.286,543233.000,1144335.000,424976.000,260805.000,516350.000,0.679,0.321
1415,Duisburg,Duisburg-Ruhrort,165,0.000,True,BFG,0.932,1.000,4.141,1.575,746094.827,206590.000,1034637.000,3093636.571,2214436.000,4396101.000,0.999,0.001
1479,Lingen,Emsland,1820,124.000,True,NG,0.201,1.000,0.379,3.712,4087404.714,3044703.000,5232317.000,1626044.571,1184094.000,2120000.000,0.953,0.047
969,Wilhelmshaven,Wilhelmshaven (Uniper),757,0.000,False,hard coal,0.337,0.004,0.923,2.553,1117431.363,0.000,2974443.000,1032955.857,4418.000,2811433.000,0.999,0.001
1446,Nuernberg,Franken I,823,1110.000,True,NG,0.201,,,,222480.714,152501.000,434355.000,123096.571,87777.000,227471.000,,
1605,Grevenbroich-Frimmersdorf,Frimmersdorf,580,30.000,False,lignite,0.407,0.000,1.476,1.932,762987.000,0.000,2718916.000,1133812.857,0.000,4353370.000,0.993,0.007
1207,Vohburg,Irsching,1261,25.000,False,mixed,,0.001,,,777084.714,17269.000,2404087.000,291998.143,13782.000,854657.000,,
4148,Vohburg,Irsching,561,0.000,False,NG,0.201,0.000,,,483032.429,4199.000,1783315.000,189642.286,2209.000,610943.000,,
1210,Kiel,Kiel (Gemeinschaftskraftwerk),323,192.000,True,hard coal,0.337,0.000,0.883,2.669,527828.286,0.000,1159302.000,570836.857,0.000,1251101.000,0.817,0.183
1481,Werne,Gersteinwerk,1948,0.000,False,mixed,,,,,1033325.571,7827.000,2942137.000,43553.857,1305.000,147834.000,,
1387,Hannover,Stoecken (GKH),272,426.000,True,hard coal,0.337,0.079,0.947,2.491,1317421.714,891258.000,1564587.000,1458289.143,1057616.000,1697240.000,0.855,0.145
1450,Altbach,HKW Altbach-Deizisau,769,560.000,True,hard coal,0.337,0.128,21.036,0.112,55035.000,0.000,385245.000,1269086.286,722621.000,1919622.000,0.912,0.088
739,Dresden,HKW Dresden Nossener Bruecke,260,455.000,True,NG,0.201,0.000,0.221,6.365,1383154.000,1124560.000,1478782.000,720782.714,616282.000,770563.000,0.424,0.576
1452,Heilbronn,HKW Heilbronn,778,550.000,True,hard coal,0.337,0.117,0.974,2.422,1909331.286,500508.000,2860319.000,1928059.714,637633.000,2712379.000,0.964,0.036
1095,Duesseldorf,Lausward,995,375.000,True,NG,0.201,0.000,0.308,4.570,2998966.429,2382175.000,3856165.000,1107673.571,915963.000,1377984.000,0.834,0.166
1444,Leipzig,HKW Leipzig-Nord,167,200.000,True,NG,0.201,0.000,0.163,8.630,360451.011,0.000,574864.000,223424.286,158218.000,304146.000,0.263,0.737
750,Muenchen,Sued,616,646.000,True,NG,0.201,,,,,,,,538.000,2528.000,,
1276,Koeln,HKW Merkenich,110,80.000,True,NG,0.201,0.219,3.320,0.424,81805.048,0.000,205947.000,419272.143,329476.000,538186.000,0.648,0.352
1279,Koeln,Niehl,866,678.000,True,NG,0.201,0.000,0.430,3.276,2821793.224,2148254.614,3671506.000,1443449.571,1059082.000,1762167.000,0.840,0.160
1746,Saarbruecken,HKW Roemerbrueke,125,141.000,True,NG,0.201,0.000,inf,0.000,0.000,0.000,0.000,174465.714,149843.000,216629.000,0.368,0.632
1515,Wolfsburg,HKW West,278,260.000,True,hard coal,0.337,0.527,1.001,2.355,1468828.000,1086183.000,1688209.000,1600819.571,1310553.000,1797455.000,0.918,0.082
1291,Petershagen,Heyden,875,0.000,False,hard coal,0.337,0.001,,,1417546.714,110031.000,3369017.000,1425595.286,323231.000,3004101.000,,
1486,Duisburg-Huckingen,Huckingen,600,68.000,True,BFG,0.932,0.001,1.969,3.313,1445811.429,0.000,2321469.000,2850297.143,2351848.000,3221175.000,0.999,0.001
995,Elsfleth,Huntorf (CAES),321,0.000,False,NG,0.201,0.004,,,9781.429,1221.000,25579.000,3966.857,726.000,9811.000,,
1480,Ibbenbueren,Ibbenbueren,791,20.000,True,hard coal,0.337,0.000,0.988,2.387,1603868.571,0.000,3642853.000,1586087.714,587.000,3863723.000,0.999,0.001
19,Schwedt,IKS PCK Schwedt,234,212.000,True,crude oil,0.264,0.969,1.022,1.807,1419662.286,1272213.000,1575984.000,3630665.286,3418710.000,3842978.000,0.400,0.600
210483,Kiel,Kuestenkraftwerk,190,192.000,True,NG,0.201,,,,303390.343,0.000,826121.694,162803.714,0.000,374004.000,,
1170,Berlin,Klingenberg,164,590.000,True,NG,0.201,0.000,0.253,5.559,545666.857,374661.000,642187.000,713318.000,402741.000,1377759.000,0.194,0.806
1786,Huerth-Knapsack,Knapsack,784,0.000,False,NG,0.201,,,,1323590.143,437028.000,2708622.000,,,,,
202777,Huerth-Knapsack,Knapsack,426,0.000,False,NG,0.201,,,,1105841.857,570651.000,1743406.000,397711.571,205834.000,613365.000,,
1309,Rostock,Rostock,514,150.000,True,hard coal,0.337,0.000,0.807,2.921,2276117.571,1122191.000,3224760.000,1895668.571,911345.000,2636984.000,0.969,0.031
662,Ludwigshafen,Mitte,412,540.000,True,NG,0.201,,,,1374585.286,1086650.000,1481396.000,22396.000,0.000,66989.000,,
1484,Ludwigshafen,Sued,345,420.000,True,NG,0.201,1.000,0.629,2.236,1099706.714,809878.000,1277192.000,1241331.571,940698.000,1442015.000,0.557,0.443
852,Bexbach,Bexbach,726,0.000,False,hard coal,0.337,,,,500927.989,31504.000,1794053.355,525120.571,37768.000,1843866.000,,
1238,Bremen,Hafen,300,39.000,True,hard coal,0.337,,,,836040.143,0.000,1679459.000,789247.571,0.000,1520633.000,,
839,Ensdorf,Ensdorf,106,0.000,True,hard coal,0.337,,,,0.000,0.000,0.000,15740.000,0.000,63526.000,,
838,Ensdorf,Ensdorf,283,0.000,False,hard coal,0.337,0.000,inf,0.000,0.000,0.000,0.000,303140.286,0.000,1078644.000,1.000,0.000
999,Bremen,Farge,350,26.000,False,hard coal,0.337,,,,1038574.714,391132.000,1460029.000,913688.286,353086.000,1259810.000,,
1253,Bremen,Hastedt,119,150.000,True,hard coal,0.337,0.388,0.910,2.591,679598.000,575460.000,786206.000,718421.429,666521.000,774343.000,0.861,0.139
1312,Herne,Herne,460,550.000,True,hard coal,0.337,0.000,0.985,2.394,1229984.489,730048.000,1600813.421,1415578.286,851369.000,2173726.000,0.856,0.144
1447,Grossmehring,Ingolstadt,772,0.000,False,heavy fuel oil,0.289,0.000,1.677,1.207,14228.429,0.000,35255.000,29278.857,13624.000,42018.000,0.815,0.185
1456,Peitz,Jaenschwalde,2998,304.000,True,lignite,0.398,0.000,1.187,2.348,15818770.000,11685674.000,19949822.000,18849967.286,13649542.000,23756337.000,0.996,0.004
1064,Mainz,Mainz-Wiesbaden,785,160.000,True,NG,0.201,,,,1596276.952,1172314.000,2124117.000,634577.429,427894.000,877892.000,,
1228,Bremen,Mittelsbueren,176,0.000,False,BFG,0.932,,,,895100.143,621071.000,1074012.000,2408075.286,1751452.000,2845273.000,,
1318,Voerde,Voerde,1390,0.000,False,hard coal,0.337,,,,784126.143,0.000,4348854.000,790516.286,0.000,4487789.000,,
1464,Walheim,Walheim,136,0.000,False,light fuel oil,0.266,,,,23752.571,15315.000,32512.000,69047.286,39929.000,144413.000,,
1317,Duisburg,Walsum,1095,295.000,True,hard coal,0.337,0.000,0.896,2.630,3263895.449,2078788.393,4784199.752,3036352.286,2062745.000,4796896.000,0.963,0.037
205778,Wilhelmshaven,Wilhelmshaven (ENGIE),726,0.000,False,hard coal,0.337,,,,603891.000,0.000,2723961.000,1525878.000,553554.000,2114040.000,,
1384,Hannover,Herrenhausen,100,140.000,True,NG,0.201,0.000,,,3343.857,0.000,10444.000,15598.571,2661.000,24981.000,,
939,Mehrum,Mehrum,690,0.000,False,hard coal,0.337,,,,1505688.549,760756.000,2607831.000,1347243.143,710340.000,2319751.000,,
209842,Berlin,Lichterfelde,588,880.000,True,NG,0.201,,,,124797.286,0.000,338359.000,318086.143,31343.000,579432.000,,
741,Muenchen,Nord,333,550.000,True,hard coal,0.337,0.000,0.851,2.770,1046427.429,597897.000,1561921.000,1340609.714,881022.000,1827049.000,0.664,0.336
206180,Hamburg,Moorburg,1600,240.000,True,hard coal,0.337,,,,4284936.429,0.000,7746220.000,3477568.714,7065.000,6247591.000,,
1606,Grevenbroich-Neurath,Neurath,4212,10.000,True,lignite,0.407,0.001,1.416,2.014,18238858.617,9154735.207,29467344.000,25849382.571,18671292.000,32156311.000,0.999,0.001
1649,Bergheim,Niederaussem,3398,245.000,True,lignite,0.407,0.000,1.163,2.452,17281809.857,10183283.000,23561920.000,20190734.143,11877613.000,27173752.000,0.996,0.004
1181,Berlin,HKW Reuter,124,169.000,True,hard coal,0.337,0.000,0.938,2.514,134331.857,0.000,382769.000,167799.286,0.000,450537.000,0.751,0.249
1179,Berlin,HKW Reuter-West,564,726.000,True,hard coal,0.337,0.000,0.846,2.787,1723735.000,1308803.000,2355713.000,1937436.143,1564208.000,2531294.000,0.753,0.247
1457,Karlsruhe,Rheinhafen-Dampfkraftwerk,1700,440.000,True,mixed,,0.000,0.812,,4168809.571,2502985.000,5556132.000,3455897.143,2133670.000,4764061.000,0.980,0.020
1376,Schkopau,Schkopau,900,200.000,True,lignite,0.372,0.801,1.233,2.110,3561273.857,2083361.000,4905241.000,4604850.714,2970535.000,6058441.000,0.954,0.046
1205,Gelsenkirchen,Scholven,690,0.000,True,hard coal,0.337,0.000,1.345,1.753,2597397.000,1899524.000,3224370.000,3791367.429,3090611.000,4300742.000,0.921,0.079
1459,Spremberg,Schwarze Pumpe,1510,120.000,True,lignite,0.398,0.772,1.095,2.543,9843100.429,8094773.000,11031624.000,11161289.429,9570636.000,12374048.000,0.966,0.034
1876,Grosskotzenburg,Staudinger,510,300.000,True,hard coal,0.337,0.088,,,,3458.000,169580.000,1583217.857,924225.000,2427352.000,0.964,0.036
1379,Grosskotzenburg,Staudinger,622,0.000,False,hard coal,0.337,,,,1733866.857,983895.000,2768918.000,,,,,
951,Hamburg,Tiefstack,316,955.000,True,mixed,,0.000,0.768,,982674.143,791077.000,1306818.000,1172179.571,1069564.000,1296112.000,0.644,0.356
2195,Hamm,Trianel GKW Hamm-Uentrop,850,0.000,False,NG,0.201,,,,1469717.000,884834.000,2455782.000,553475.857,331652.000,895498.000,,
4166,Luenen,Trianel KKW Luenen,746,35.000,True,hard coal,0.337,,,,3415967.714,1637333.000,4018796.000,2783840.714,1329736.000,3428828.000,,
889,Voelklingen-Fenne,Voelklingen-Fenne,211,185.000,True,hard coal,0.337,0.275,1.017,2.317,485614.890,297456.000,666026.231,561107.429,335026.000,870263.000,0.881,0.119
851,Voelklingen-Fenne,Voelklingen-Fenne,179,210.000,True,hard coal,0.337,0.278,1.017,2.319,326343.364,129314.000,513808.545,363374.571,158047.000,622224.000,0.913,0.087
952,Wedel,Wedel,250,423.000,True,hard coal,0.337,0.000,1.201,1.964,691451.286,0.000,1138731.000,1163475.429,1038938.000,1327551.000,0.713,0.287
845,Querschied,Weiher,656,30.000,True,hard coal,0.337,,,,303097.434,17208.000,1188773.041,333618.000,24624.000,1355318.000,,
1607,Eschweiler-Weisweiler,Weisweiler,2363,184.000,True,mixed,,,,,12262450.714,9742444.000,15226622.000,15523613.571,11473822.000,18945349.000,,
1474,Hamm-Uentrop,Westfalen,1014,0.000,False,hard coal,0.337,,,,2164610.286,0.000,3856196.000,,0.000,255272.000,,
963,Zolling,Zolling-Leininger,472,150.000,True,hard coal,0.337,,,,1472320.571,931434.000,1892349.000,1278312.714,848136.000,1639527.000,,
1194,Berlin,Mitte,444,1210.000,True,NG,0.201,0.000,,,,,,857432.857,627240.000,974109.000,0.409,0.591
